id,name,website,portfolio site,Teams,notes,Insights
1,Sequoia,https://www.sequoiacap.com,https://sequoiacap.com/our-companies/#all-panel,"https://sequoiacap.com/our-team/?_role=seed-early https://sequoiacap.com/our-team/?_role=growth, https://sequoiacap.com/our-team/?_role=operator",Load more button,"Many of the comapnies have their teams on the website, maybe we could grab that as well. "
2,Andreessen Horowitz,https://a16z.com,https://a16z.com/portfolio/,https://a16z.com/team/,"All there, data on companies quite sparse",
3,Accel,https://www.accel.com,https://www.accel.com/companies,https://www.accel.com/team,Load more button,
4,DST Global,https://dst-global.com,N/A,N/A,No direct access but there are paid sources,
5,Tiger Global,https://www.tigerglobal.com,N/A,N/A,No direct access but there are paid sources,
6,Index Ventures,https://www.indexventures.com,https://www.indexventures.com/companies/backed/all/,https://www.indexventures.com/team/,,
7,Lightspeed,https://lsvp.com,https://lsvp.com/companies/?location=all&sector=all&investments=lsvp%2Clsip,https://lsvp.com/lightspeed-team/,an infnite scroll,
8,Thrive Capital,https://www.thrivecap.com,N/A,N/A,,
9,Founders Fund,https://foundersfund.com,https://foundersfund.com/portfolio/,https://foundersfund.com/our_team,,
10,ICONIQ,https://iconiqcapital.com,https://www.iconiq.com/growth/companies,N/A,,
11,Kleiner Perkins,https://www.kleinerperkins.com,https://www.kleinerperkins.com/partnerships/,https://www.kleinerperkins.com/people,Featured/All button click all. ,
12,NEA,https://www.nea.com,https://www.nea.com/portfolio?category=all,https://www.nea.com/team,,
13,Greylock,https://greylock.com,,,,
14,Benchmark,https://www.benchmark.com,,,,
15,Bessemer Venture Partners,https://www.bvp.com,,,,
16,Khosla Ventures,https://www.khoslaventures.com,,,,
17,General Catalyst,https://www.generalcatalyst.com,,,,
18,Ribbit Capital,https://ribbitcap.com,,,,
19,Parkway,https://parkwayvc.com,,,,
20,General Atlantic,https://www.generalatlantic.com,,,,
21,Notable Capital,https://notablecap.com,,,,
22,IVP,https://www.ivp.com,,,,
23,Dragoneer,https://www.dragoneer.com,,,,
24,Altimeter,https://www.altimeter.com,,,,
25,Mayfield,https://www.mayfield.com,,,,
26,Sutter Hill Ventures,https://www.shv.com,,,,
27,OrbiMed,https://www.orbimed.com,,,,
28,Insight Partners,https://www.insightpartners.com,,,,
29,Coatue,https://www.coatue.com,,,,
30,Spark Capital,https://www.sparkcapital.com,,,,
31,SV Angel,https://svangel.com,,,,
32,Battery Ventures,https://www.battery.com,,,,
33,Bedrock,https://bedrockcap.com,,,,
34,Paradigm,https://www.paradigm.xyz,,,,
35,Oak HC/FT,https://www.oakhcft.com,,,,
36,Atlas,https://www.atlasventure.com,,,,
37,Venrock,https://www.venrock.com,,,,
38,Meritech,https://www.meritechcapital.com,,,,
39,Norwest Venture Partners,https://www.nvp.com,,,,
40,CRV,https://www.crv.com,,,,
41,Bain Capital Ventures,https://www.baincapitalventures.com,,,,
42,Inflection Ventures,https://www.inflectionvc.com,,,,
43,Menlo Ventures,https://menlovc.com,,,,
44,Greenoaks,https://www.greenoaks.com,,,,
45,Pace Capital,https://pacecapital.com,,,,
46,8VC,https://8vc.com,,,,
47,TCV,https://www.tcv.com,,,,
48,Lux Capital,https://www.luxcapital.com,,,,
49,ARCH Venture Partners,https://www.archventure.com,,,,
50,USV,https://www.usv.com,,,,